00042,恪,각,정성 각,,,10,9,11,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00043,殼,각,껍질 각,,좋지않은 의미 문자,12,12,19,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00044,愨,각,성실할 각,,,14,14,21,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00045,慤,각,성실할 각,,,15,15,24,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00046,干,간,방패 간,,,3,3,3,목화,목,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00047,間,간,사이 간,,,12,12,16,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00048,看,간,볼 간,,,9,9,10,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00049,刊,간,책펴낼 간,,,5,5,6,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00050,肝,간,간 간,,,9,7,9,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00051,幹,간,줄기 간,,,13,13,14,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00052,簡,간,편지 간,,,18,18,22,목화,목,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00053,姦,간,간사할 간,,좋지않은 의미 문자,9,9,12,목화,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00054,懇,간,간절할 간,,,17,17,22,목화,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00055,艮,간,간방 간,,,6,6,8,목화,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00056,侃,간,강직할 간,,,8,8,11,목화,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00057,杆,간,줄기 간,,,7,7,7,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00058,玕,간,옥돌 간,,,8,7,7,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00059,桿,간,난간 간,,,11,11,12,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00060,竿,간,대 간,,,9,9,9,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00061,揀,간,가릴 간,,,13,12,14,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00062,諫,간,간할(말씀드릴) 간,,,16,16,18,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00063,墾,간,개간할 간,,,16,16,19,목화,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00064,栞,간,표할 간,,,10,10,10,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00065,奸,간,간사할 간,,좋지않은 의미 문자,6,6,7,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00066,柬,간,분간할 간,,,9,9,10,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00067,澗,간,산골물 간,,,16,15,19,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00068,磵,간,산골짜기물 간,,,17,17,22,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00069,稈,간,볏짚 간,,,12,12,13,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00070,艱,간,어려울 간,,좋지않은 의미 문자,17,17,20,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00071,癇,간,간질 간,,좋지않은 의미 문자,17,17,22,목화,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00072,癎,간,간질 간,,좋지않은 의미 문자,17,17,21,목화,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00073,忓,간,방해할 간,,좋지않은 의미 문자,7,6,6,목화,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00074,矸,간,산돌 간,,,8,8,9,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00075,渴,갈,목마를 갈,,좋지않은 의미 문자,13,12,16,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00076,葛,갈,칡 갈,,,15,13,17,목화,목,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
