00026,袈,가,가사 가,가사( 어깨에 걸치는 스님들의 옷) ,좋지않은 의미 문자,11,11,15,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,衣(옷의)   clothes ,6,6,7,목
00027,訶,가,꾸짖을 가,꾸짖다 혼내다 책망하다 노하다 ,좋지않은 의미 문자,12,12,15,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,言(말씀언)   word  speech ,7,7,8,금
00028,跏,가,책상다리할 가,책상다리를 하고 앉다,,12,12,16,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,足(발족)   foot ,7,7,8,토
00029,軻,가,수레 가,수레,,12,12,15,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,車(수레거)   cart  vehicle ,7,7,8,화
00030,哿,가,옳을 가,옳다 좋다 아름답다 머리꾸미개,,10,10,15,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,口(입구변)   mouth ,3,3,4,수
00031,嘏,가,클 가,크다 장대하다 복,,14,14,18,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,口(입구변)   mouth ,3,3,4,수
00032,舸,가,배(선박) 가,배 큰 배,,11,11,15,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,舟(배주)   ship ,6,6,8,목
00033,珈,가,머리꾸미개 가,비녀,,10,9,12,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,王(구슬옥변)   gem 원문자:玉  ,5,4,4,금
00034,各,각,각각 각,제각기 따로따로,,6,6,8,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,口(입구변)   mouth ,3,3,4,수
00035,角,각,뿔 각,모 귀 구석 쌍상투 총각 견주다 뿔피리,,7,7,10,목,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,角(뿔각)   horn ,7,7,10,목
00036,脚,각,다리 각,다리 밟다 ,좋지않은 의미 문자,13,11,16,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,月(육달월)   moon  month meat 원문자:肉  ,6,4,6,수
00037,閣,각,집 각,다락집 대궐 마을 복도,,14,14,19,목,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,門(문문)   gate ,8,8,11,목
00038,却,각,물리칠 각,물러나다 뒤집다 어조사 도리어 틈,,7,7,10,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,卩(병부절)   seal ,2,2,4,금
00039,覺,각,깨달을 각,깨닫다 깨우치다 깨달음 나타나다 높다 크다 곧다,,20,20,25,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,見(볼견)   see ,7,7,10,화
00040,刻,각,새길 각,깎다 해하다 인정이 각박하다 시각,,8,8,10,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,刂(칼도변)   knife  sword 원문자:刀  ,2,2,3,금
00041,珏,각,쌍옥 각,쌍옥(한쌍의 구슬),,10,9,9,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,王(구슬옥변)   gem 원문자:玉  ,5,4,4,금
00042,恪,각,정성 각,삼가다 근신하다,,10,9,11,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,忄(심방변)   heart  mind 원문자:心  ,4,3,3,화
00043,殼,각,껍질 각,껍질 내리치다 ,좋지않은 의미 문자,12,12,19,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,殳(갖은등글월문)   spear  club  pole ,4,4,8,금
00044,愨,각,성실할 각,성실하다 정성스럽다 삼가다,,14,14,21,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,心(마음심)   heart  mind ,4,4,6,화
00045,慤,각,성실할 각,성실하다 정성스럽다 삼가다,,15,15,24,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,心(마음심)   heart  mind ,4,4,6,화
00046,干,간,방패 간,방패 범하다 구하다 간여하다,,3,3,3,목화,목,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,干(방패간)   shield  buckler ,3,3,3,목
00047,間,간,사이 간,사이 틈 들어가다 염탐군 엿보다,,12,12,16,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,門(문문)   gate ,8,8,11,목
00048,看,간,볼 간,보다 뵈다 지키다 대접,,9,9,10,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,目(눈목)   eye ,5,5,6,목
00049,刊,간,책펴낼 간,새기다 베다 깎다,,5,5,6,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,刂(칼도변)   knife  sword 원문자:刀  ,2,2,3,금
00050,肝,간,간 간,간장 마음 요긴하다,,9,7,9,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,月(육달월)   moon  month meat 원문자:肉  ,6,4,6,수
00051,幹,간,줄기 간,줄기 근본 재능,,13,13,14,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,干(방패간)   shield  buckler ,3,3,3,목
00052,簡,간,편지 간,대쪽 편지 문서 가리다 검열하다 단출하다,,18,18,22,목화,목,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,竹(대나무죽)   bamboo ,6,6,7,목
00053,姦,간,간사할 간,간사하다 간음하다 ,좋지않은 의미 문자,9,9,12,목화,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,女(계집녀변)   woman  lady ,3,3,4,토
00054,懇,간,간절할 간,간절하다 노력하다 정성스럽다 믿다,,17,17,22,목화,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,心(마음심)   heart  mind ,4,4,6,화
00055,艮,간,간방 간,괘 이름 그칠 간 어긋나다 그치다 어려워하다 한정하다,,6,6,8,목화,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,艮(간방간)   stop  stay ,6,6,8,토
