甲子,42
乙丑,40
丙寅,46
丁卯,32
戊辰,34
己巳,37
庚午,48
辛未,43
壬申,51
癸酉,53
甲戌,48
乙亥,42
丙子,44
丁丑,38
戊寅,36
己卯,34
庚辰,43
辛巳,41
壬午,30
癸未,35
甲申,37
乙酉,33
丙戌,36
丁亥,46
戊子,48
己丑,55
庚寅,57
辛卯,59
壬辰,52
癸巳,32
甲午,34
乙未,46
丙申,44
丁酉,42
戊戌,55
己亥,30
庚子,44
辛丑,38
壬寅,41
癸卯,35
甲辰,56
乙巳,52
丙午,38
丁未,46
戊申,44
己酉,41
庚戌,32
辛亥,30
壬子,59
癸丑,44
甲寅,38
乙卯,40
丙辰,32
丁巳,41
戊午,30
己未,32
庚申,46
辛酉,35
壬戌,37
癸亥,40
